VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
tidb_allow_fallback_to_tikv	SESSION,GLOBAL			NULL	NULL	NULL	NO
tidb_allow_function_for_expression_index	NONE	json_array, json_array_append, json_array_insert, json_contains, json_contains_path, json_depth, json_extract, json_insert, json_keys, json_length, json_merge_patch, json_merge_preserve, json_object, json_pretty, json_quote, json_remove, json_replace, json_schema_valid, json_search, json_set, json_storage_size, json_type, json_unquote, json_valid, lower, md5, reverse, tidb_shard, upper, vitess_hash	json_array, json_array_append, json_array_insert, json_contains, json_contains_path, json_depth, json_extract, json_insert, json_keys, json_length, json_merge_patch, json_merge_preserve, json_object, json_pretty, json_quote, json_remove, json_replace, json_schema_valid, json_search, json_set, json_storage_size, json_type, json_unquote, json_valid, lower, md5, reverse, tidb_shard, upper, vitess_hash	NULL	NULL	NULL	NO
tidb_allow_mpp	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_allow_remove_auto_inc	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_allow_tiflash_cop	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_analyze_column_options	GLOBAL	ALL	ALL	NULL	NULL	NULL	NO
tidb_analyze_distsql_scan_concurrency	SESSION,GLOBAL	4	4	0	2147483647	NULL	NO
tidb_analyze_partition_concurrency	SESSION,GLOBAL	2	2	1	128	NULL	NO
tidb_analyze_skip_column_types	SESSION,GLOBAL	json,blob,mediumblob,longblob,mediumtext,longtext	json,blob,mediumblob,longblob,mediumtext,longtext	NULL	NULL	NULL	NO
tidb_analyze_version	SESSION,GLOBAL	2	2	1	2	NULL	NO
tidb_auto_analyze_concurrency	GLOBAL	1	1	0	2147483647	NULL	NO
tidb_auto_analyze_end_time	GLOBAL	23:59 +0000	23:59 +0000	NULL	NULL	NULL	NO
tidb_auto_analyze_partition_batch_size	GLOBAL	8192	8192	1	8192	NULL	NO
tidb_auto_analyze_ratio	GLOBAL	0.5	0.5	0	18446744073709551615	NULL	NO
tidb_auto_analyze_start_time	GLOBAL	00:00 +0000	00:00 +0000	NULL	NULL	NULL	NO
tidb_auto_build_stats_concurrency	GLOBAL	1	1	1	256	NULL	NO
tidb_backoff_lock_fast	SESSION,GLOBAL	10	10	1	2147483647	NULL	NO
tidb_backoff_weight	SESSION,GLOBAL	2	2	0	2147483647	NULL	NO
tidb_batch_commit	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_batch_delete	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_batch_insert	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_batch_pending_tiflash_count	SESSION,GLOBAL	4000	4000	0	4294967295	NULL	NO
tidb_broadcast_join_threshold_count	SESSION,GLOBAL	10240	10240	0	9223372036854775807	NULL	NO
tidb_broadcast_join_threshold_size	SESSION,GLOBAL	104857600	104857600	0	9223372036854775807	NULL	NO
tidb_build_sampling_stats_concurrency	SESSION,GLOBAL	2	2	1	256	NULL	NO
tidb_build_stats_concurrency	SESSION,GLOBAL	2	2	1	256	NULL	NO
tidb_capture_plan_baselines	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_cb_pd_metadata_error_rate_threshold_ratio	GLOBAL	0	0	0	1	NULL	NO
tidb_cdc_write_source	SESSION	0	0	0	15	NULL	NO
tidb_check_mb4_value_in_utf8	INSTANCE	ON	ON	NULL	NULL	NULL	NO
tidb_checksum_table_concurrency	SESSION	4	4	1	256	NULL	NO
tidb_cloud_storage_uri	GLOBAL			NULL	NULL	NULL	NO
tidb_committer_concurrency	GLOBAL	128	128	1	10000	NULL	NO
tidb_config	INSTANCE		{
	"advertise-address": "${LOCALHOST}",
	"alter-primary-key": false,
	"autoscaler-addr": "tiflash-autoscale-lb.tiflash-autoscale.svc.cluster.local:8081",
	"autoscaler-cluster-id": "",
	"autoscaler-type": "aws",
	"ballast-object-size": 0,
	"compatible-kill-query": false,
	"cors": "",
	"delay-clean-table-lock": 0,
	"deprecate-integer-display-length": true,
	"disaggregated-tiflash": false,
	"enable-32bits-connection-id": true,
	"enable-enum-length-limit": true,
	"enable-forwarding": false,
	"enable-global-kill": true,
	"enable-table-lock": false,
	"enable-tcp4-only": false,
	"enable-telemetry": false,
	"experimental": {
		"allow-expression-index": false
	},
	"graceful-wait-before-shutdown": 0,
	"host": "${LOCALHOST}",
	"in-mem-slow-query-recent-num": 500,
	"in-mem-slow-query-topn-num": 30,
	"index-limit": 64,
	"initialize-sql-file": "",
	"instance": {
		"ddl_slow_threshold": 300,
		"max_connections": 0,
		"plugin_audit_log_buffer_size": 0,
		"plugin_audit_log_flush_interval": 30,
		"plugin_dir": "/data/deploy/plugin",
		"plugin_load": "",
		"tidb_check_mb4_value_in_utf8": true,
		"tidb_enable_collect_execution_info": true,
		"tidb_enable_ddl": true,
		"tidb_enable_slow_log": true,
		"tidb_enable_stats_owner": true,
		"tidb_expensive_query_time_threshold": 60,
		"tidb_expensive_txn_time_threshold": 600,
		"tidb_force_priority": "NO_PRIORITY",
		"tidb_general_log": false,
		"tidb_pprof_sql_cpu": false,
		"tidb_rc_read_check_ts": false,
		"tidb_record_plan_in_slow_log": 1,
		"tidb_service_scope": "",
		"tidb_slow_log_threshold": 300,
		"tidb_stmt_summary_enable_persistent": false,
		"tidb_stmt_summary_file_max_backups": 0,
		"tidb_stmt_summary_file_max_days": 3,
		"tidb_stmt_summary_file_max_size": 64,
		"tidb_stmt_summary_filename": "tidb-statements.log"
	},
	"is-tiflashcompute-fixed-pool": false,
	"isolation-read": {
		"engines": [
			"tikv",
			"tiflash",
			"tidb"
		]
	},
	"keyspace-name": "",
	"labels": {},
	"lease": "45s",
	"log": {
		"disable-error-stack": null,
		"disable-timestamp": null,
		"enable-error-stack": null,
		"enable-timestamp": null,
		"file": {
			"buffer-flush-interval": 0,
			"buffer-size": 0,
			"compression": "",
			"filename": "${TIUP_DATA_DIR}/tidb-0/tidb.log",
			"is-buffered": false,
			"max-backups": 0,
			"max-days": 0,
			"max-size": 300
		},
		"format": "text",
		"general-log-file": "",
		"level": "info",
		"slow-query-file": "tidb-slow.log",
		"timeout": 0
	},
	"max-ballast-object-size": 0,
	"max-index-length": 3072,
	"new_collations_enabled_on_first_bootstrap": true,
	"opentracing": {
		"enable": false,
		"reporter": {
			"buffer-flush-interval": 0,
			"local-agent-host-port": "",
			"log-spans": false,
			"queue-size": 0
		},
		"rpc-metrics": false,
		"sampler": {
			"max-operations": 0,
			"param": 1,
			"sampling-refresh-interval": 0,
			"sampling-server-url": "",
			"type": "const"
		}
	},
	"path": "${LOCALHOST}:2379",
	"pd-client": {
		"pd-server-timeout": 3
	},
	"performance": {
		"analyze-partition-concurrency-quota": 16,
		"bind-info-lease": "3s",
		"concurrently-init-stats": true,
		"cross-join": true,
		"distinct-agg-push-down": false,
		"enable-async-batch-get": false,
		"enable-load-fmsketch": false,
		"enable-stats-cache-mem-quota": true,
		"enforce-mpp": false,
		"force-init-stats": true,
		"gogc": 100,
		"lite-init-stats": true,
		"max-procs": 0,
		"max-txn-ttl": 3600000,
		"plan-replayer-dump-worker-concurrency": 1,
		"plan-replayer-gc-lease": "10m",
		"projection-push-down": true,
		"pseudo-estimate-ratio": 0.8,
		"server-memory-quota": 0,
		"stats-lease": "3s",
		"stats-load-concurrency": 0,
		"stats-load-queue-size": 1000,
		"stmt-count-limit": 5000,
		"tcp-keep-alive": true,
		"tcp-no-delay": true,
		"txn-entry-size-limit": 6291456,
		"txn-total-size-limit": 104857600
	},
	"pessimistic-txn": {
		"constraint-check-in-place-pessimistic": true,
		"deadlock-history-capacity": 10,
		"deadlock-history-collect-retryable": false,
		"max-retry-count": 256,
		"pessimistic-auto-commit": false
	},
	"plugin": {},
	"port": 4000,
	"prepared-plan-cache": {},
	"proxy-protocol": {
		"fallbackable": false,
		"header-timeout": 5,
		"networks": ""
	},
	"repair-mode": false,
	"repair-table-list": [],
	"security": {
		"auth-token-jwks": "",
		"auth-token-refresh-interval": "1h0m0s",
		"auto-tls": true,
		"cluster-ssl-ca": "",
		"cluster-ssl-cert": "",
		"cluster-ssl-key": "",
		"cluster-verify-cn": null,
		"disconnect-on-expired-password": true,
		"enable-sem": false,
		"rsa-key-size": 4096,
		"secure-bootstrap": false,
		"session-token-signing-cert": "",
		"session-token-signing-key": "",
		"skip-grant-table": false,
		"spilled-file-encryption-method": "plaintext",
		"ssl-ca": "",
		"ssl-cert": "",
		"ssl-key": "",
		"tls-version": ""
	},
	"server-version": "",
	"skip-register-to-dashboard": false,
	"socket": "/tmp/tidb-4000.sock",
	"split-region-max-num": 1000,
	"split-table": true,
	"status": {
		"grpc-concurrent-streams": 1024,
		"grpc-initial-window-size": 2097152,
		"grpc-keepalive-time": 10,
		"grpc-keepalive-timeout": 3,
		"grpc-max-send-msg-size": 2147483647,
		"metrics-addr": "",
		"metrics-interval": 15,
		"record-db-label": false,
		"record-db-qps": false,
		"report-status": true,
